Country,Region,Date,Confirmed,Deaths,Recovered,Confirmed_1_Boost,Confirmed_2_Boost,Confirmed_3_Boost,Confirmed_4_Boost,Confirmed_5_Boost,Confirmed_6_Boost,Confirmed_7_Boost,Confirmed_8_Boost,Confirmed_9_Boost,Confirmed_10_Boost,Confirmed_11_Boost,Confirmed_12_Boost,Confirmed_13_Boost,Confirmed_14_Boost,Confirmed_15_Boost,Confirmed_16_Boost,Confirmed_17_Boost,Confirmed_18_Boost,Confirmed_19_Boost,Confirmed_20_Boost,Confirmed_21_Boost,Confirmed_22_Boost,Confirmed_23_Boost,Confirmed_24_Boost,Confirmed_25_Boost,Confirmed_26_Boost,Confirmed_27_Boost,Confirmed_28_Boost,Confirmed_29_Boost,Confirmed_30_Boost,Deaths_1_Boost,Deaths_2_Boost,Deaths_3_Boost,Deaths_4_Boost,Deaths_5_Boost,Deaths_6_Boost,Deaths_7_Boost,Deaths_8_Boost,Deaths_9_Boost,Deaths_10_Boost,Deaths_11_Boost,Deaths_12_Boost,Deaths_13_Boost,Deaths_14_Boost,Deaths_15_Boost,Deaths_16_Boost,Deaths_17_Boost,Deaths_18_Boost,Deaths_19_Boost,Deaths_20_Boost,Deaths_21_Boost,Deaths_22_Boost,Deaths_23_Boost,Deaths_24_Boost,Deaths_25_Boost,Deaths_26_Boost,Deaths_27_Boost,Deaths_28_Boost,Deaths_29_Boost,Deaths_30_Boost,Recovered_1_Boost,Recovered_2_Boost,Recovered_3_Boost,Recovered_4_Boost,Recovered_5_Boost,Recovered_6_Boost,Recovered_7_Boost,Recovered_8_Boost,Recovered_9_Boost,Recovered_10_Boost,Recovered_11_Boost,Recovered_12_Boost,Recovered_13_Boost,Recovered_14_Boost,Recovered_15_Boost,Recovered_16_Boost,Recovered_17_Boost,Recovered_18_Boost,Recovered_19_Boost,Recovered_20_Boost,Recovered_21_Boost,Recovered_22_Boost,Recovered_23_Boost,Recovered_24_Boost,Recovered_25_Boost,Recovered_26_Boost,Recovered_27_Boost,Recovered_28_Boost,Recovered_29_Boost,Recovered_30_Boost,Confirmed_1_GDGM,Confirmed_2_GDGM,Confirmed_3_GDGM,Confirmed_4_GDGM,Confirmed_5_GDGM,Confirmed_6_GDGM,Confirmed_7_GDGM,Confirmed_8_GDGM,Deaths_1_GDGM,Deaths_2_GDGM,Deaths_3_GDGM,Deaths_4_GDGM,Deaths_5_GDGM,Deaths_6_GDGM,Deaths_7_GDGM,Deaths_8_GDGM,Recovered_1_GDGM,Recovered_2_GDGM,Recovered_3_GDGM,Recovered_4_GDGM,Recovered_5_GDGM,Recovered_6_GDGM,Recovered_7_GDGM,Recovered_8_GDGM,Confirmed_1_RNN,Deaths_1_RNN,Recovered_1_RNN,Confirmed_2_RNN,Deaths_2_RNN,Recovered_2_RNN,Confirmed_3_RNN,Deaths_3_RNN,Recovered_3_RNN,Confirmed_4_RNN,Deaths_4_RNN,Recovered_4_RNN,Confirmed_5_RNN,Deaths_5_RNN,Recovered_5_RNN,Confirmed_6_RNN,Deaths_6_RNN,Recovered_6_RNN,Confirmed_7_RNN,Deaths_7_RNN,Recovered_7_RNN,Confirmed_8_RNN,Deaths_8_RNN,Recovered_8_RNN,Confirmed_9_RNN,Deaths_9_RNN,Recovered_9_RNN,Confirmed_10_RNN,Deaths_10_RNN,Recovered_10_RNN,Confirmed_11_RNN,Deaths_11_RNN,Recovered_11_RNN,Confirmed_12_RNN,Deaths_12_RNN,Recovered_12_RNN,Confirmed_13_RNN,Deaths_13_RNN,Recovered_13_RNN,Confirmed_14_RNN,Deaths_14_RNN,Recovered_14_RNN,Confirmed_15_RNN,Deaths_15_RNN,Recovered_15_RNN,Confirmed_16_RNN,Deaths_16_RNN,Recovered_16_RNN,Confirmed_17_RNN,Deaths_17_RNN,Recovered_17_RNN,Confirmed_18_RNN,Deaths_18_RNN,Recovered_18_RNN,Confirmed_19_RNN,Deaths_19_RNN,Recovered_19_RNN,Confirmed_20_RNN,Deaths_20_RNN,Recovered_20_RNN,Confirmed_21_RNN,Deaths_21_RNN,Recovered_21_RNN,Confirmed_22_RNN,Deaths_22_RNN,Recovered_22_RNN,Confirmed_23_RNN,Deaths_23_RNN,Recovered_23_RNN,Confirmed_24_RNN,Deaths_24_RNN,Recovered_24_RNN,Confirmed_25_RNN,Deaths_25_RNN,Recovered_25_RNN,Confirmed_26_RNN,Deaths_26_RNN,Recovered_26_RNN,Confirmed_27_RNN,Deaths_27_RNN,Recovered_27_RNN,Confirmed_28_RNN,Deaths_28_RNN,Recovered_28_RNN,Confirmed_29_RNN,Deaths_29_RNN,Recovered_29_RNN,Confirmed_30_RNN,Deaths_30_RNN,Recovered_30_RNN,Confirmed_1_SEIIHURD,Deaths_1_SEIIHURD,Recovered_1_SEIIHURD,Confirmed_2_SEIIHURD,Deaths_2_SEIIHURD,Recovered_2_SEIIHURD,Confirmed_3_SEIIHURD,Deaths_3_SEIIHURD,Recovered_3_SEIIHURD,Confirmed_4_SEIIHURD,Deaths_4_SEIIHURD,Recovered_4_SEIIHURD,Confirmed_5_SEIIHURD,Deaths_5_SEIIHURD,Recovered_5_SEIIHURD,Confirmed_6_SEIIHURD,Deaths_6_SEIIHURD,Recovered_6_SEIIHURD,Confirmed_7_SEIIHURD,Deaths_7_SEIIHURD,Recovered_7_SEIIHURD,Confirmed_8_SEIIHURD,Deaths_8_SEIIHURD,Recovered_8_SEIIHURD,Confirmed_9_SEIIHURD,Deaths_9_SEIIHURD,Recovered_9_SEIIHURD,Confirmed_10_SEIIHURD,Deaths_10_SEIIHURD,Recovered_10_SEIIHURD,Confirmed_11_SEIIHURD,Deaths_11_SEIIHURD,Recovered_11_SEIIHURD,Confirmed_12_SEIIHURD,Deaths_12_SEIIHURD,Recovered_12_SEIIHURD,Confirmed_13_SEIIHURD,Deaths_13_SEIIHURD,Recovered_13_SEIIHURD,Confirmed_14_SEIIHURD,Deaths_14_SEIIHURD,Recovered_14_SEIIHURD,Confirmed_15_SEIIHURD,Deaths_15_SEIIHURD,Recovered_15_SEIIHURD,Confirmed_16_SEIIHURD,Deaths_16_SEIIHURD,Recovered_16_SEIIHURD,Confirmed_17_SEIIHURD,Deaths_17_SEIIHURD,Recovered_17_SEIIHURD,Confirmed_18_SEIIHURD,Deaths_18_SEIIHURD,Recovered_18_SEIIHURD,Confirmed_19_SEIIHURD,Deaths_19_SEIIHURD,Recovered_19_SEIIHURD,Confirmed_20_SEIIHURD,Deaths_20_SEIIHURD,Recovered_20_SEIIHURD,Confirmed_21_SEIIHURD,Deaths_21_SEIIHURD,Recovered_21_SEIIHURD,Confirmed_22_SEIIHURD,Deaths_22_SEIIHURD,Recovered_22_SEIIHURD,Confirmed_23_SEIIHURD,Deaths_23_SEIIHURD,Recovered_23_SEIIHURD,Confirmed_24_SEIIHURD,Deaths_24_SEIIHURD,Recovered_24_SEIIHURD,Confirmed_25_SEIIHURD,Deaths_25_SEIIHURD,Recovered_25_SEIIHURD,Confirmed_26_SEIIHURD,Deaths_26_SEIIHURD,Recovered_26_SEIIHURD,Confirmed_27_SEIIHURD,Deaths_27_SEIIHURD,Recovered_27_SEIIHURD,Confirmed_28_SEIIHURD,Deaths_28_SEIIHURD,Recovered_28_SEIIHURD,Confirmed_29_SEIIHURD,Deaths_29_SEIIHURD,Recovered_29_SEIIHURD,Confirmed_30_SEIIHURD,Deaths_30_SEIIHURD,Recovered_30_SEIIHURD,Confirmed_1_SEIR,Deaths_1_SEIR,Recovered_1_SEIR,Confirmed_2_SEIR,Deaths_2_SEIR,Recovered_2_SEIR,Confirmed_3_SEIR,Deaths_3_SEIR,Recovered_3_SEIR,Confirmed_4_SEIR,Deaths_4_SEIR,Recovered_4_SEIR,Confirmed_5_SEIR,Deaths_5_SEIR,Recovered_5_SEIR,Confirmed_6_SEIR,Deaths_6_SEIR,Recovered_6_SEIR,Confirmed_7_SEIR,Deaths_7_SEIR,Recovered_7_SEIR,Confirmed_8_SEIR,Deaths_8_SEIR,Recovered_8_SEIR,Confirmed_9_SEIR,Deaths_9_SEIR,Recovered_9_SEIR,Confirmed_10_SEIR,Deaths_10_SEIR,Recovered_10_SEIR,Confirmed_11_SEIR,Deaths_11_SEIR,Recovered_11_SEIR,Confirmed_12_SEIR,Deaths_12_SEIR,Recovered_12_SEIR,Confirmed_13_SEIR,Deaths_13_SEIR,Recovered_13_SEIR,Confirmed_14_SEIR,Deaths_14_SEIR,Recovered_14_SEIR,Confirmed_15_SEIR,Deaths_15_SEIR,Recovered_15_SEIR,Confirmed_16_SEIR,Deaths_16_SEIR,Recovered_16_SEIR,Confirmed_17_SEIR,Deaths_17_SEIR,Recovered_17_SEIR,Confirmed_18_SEIR,Deaths_18_SEIR,Recovered_18_SEIR,Confirmed_19_SEIR,Deaths_19_SEIR,Recovered_19_SEIR,Confirmed_20_SEIR,Deaths_20_SEIR,Recovered_20_SEIR,Confirmed_21_SEIR,Deaths_21_SEIR,Recovered_21_SEIR,Confirmed_22_SEIR,Deaths_22_SEIR,Recovered_22_SEIR,Confirmed_23_SEIR,Deaths_23_SEIR,Recovered_23_SEIR,Confirmed_24_SEIR,Deaths_24_SEIR,Recovered_24_SEIR,Confirmed_25_SEIR,Deaths_25_SEIR,Recovered_25_SEIR,Confirmed_26_SEIR,Deaths_26_SEIR,Recovered_26_SEIR,Confirmed_27_SEIR,Deaths_27_SEIR,Recovered_27_SEIR,Confirmed_28_SEIR,Deaths_28_SEIR,Recovered_28_SEIR,Confirmed_29_SEIR,Deaths_29_SEIR,Recovered_29_SEIR,Confirmed_30_SEIR,Deaths_30_SEIR,Recovered_30_SEIR,Confirmed_1_SIRDp,Deaths_1_SIRDp,Recovered_1_SIRDp,Confirmed_5_SIRDp,Deaths_5_SIRDp,Recovered_5_SIRDp,Confirmed_30_SIRDp,Deaths_30_SIRDp,Recovered_30_SIRDp,Confirmed_1_SIRFp,Deaths_1_SIRFp,Recovered_1_SIRFp,Confirmed_5_SIRFp,Deaths_5_SIRFp,Recovered_5_SIRFp,Confirmed_30_SIRFp,Deaths_30_SIRFp,Recovered_30_SIRFp,Confirmed_1_SIRp,Deaths_1_SIRp,Recovered_1_SIRp,Confirmed_5_SIRp,Deaths_5_SIRp,Recovered_5_SIRp,Confirmed_30_SIRp,Deaths_30_SIRp,Recovered_30_SIRp
Germany,,2020-04-09,118181,2607,52407,118180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118708.9453125,2522.610107421875,46334.91015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115287.57116948794,1951.8158229607861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118288.44881353315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113264.0,1731.0,39777.0,,,,,,,113264.0,1731.0,39777.0,,,,,,,112868.0,,42365.0,,,,,,
Germany,,2020-04-10,122171,2767,53913,122170.0,125001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2766.0,2772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,121668.078125,2622.859130859375,48939.78515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118634.76828560927,2089.476556408514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122496.52158401575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117901.0,1823.0,44625.0,,,,,,,117901.0,1823.0,44625.0,,,,,,,117528.0,,47435.0,,,,,,
Germany,,2020-04-11,124908,2736,57400,124907.0,129121.0,132529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736.0,2893.0,2929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119052.0,117991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124628.0234375,2713.806640625,51924.12109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121854.895678687,2226.4496780607365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126614.35988886993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122358.0,1946.0,48985.0,,,,,,,122358.0,1946.0,48985.0,,,,,,,121991.0,,52024.0,,,,,,
Germany,,2020-04-12,127854,3022,60300,127854.0,131843.0,136373.0,140304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3021.0,2922.0,3037.0,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122692.0,124849.0,123213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127485.8671875,2795.146240234375,55056.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124952.86627194707,2362.3560149337354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130643.44792700016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126465.0,2030.0,53185.0,,,,,,,126465.0,2030.0,53186.0,,,,,,,126113.0,,56403.0,,,,,,
Germany,,2020-04-13,130072,3194,64300,130072.0,134492.0,148829.0,144003.0,148998.0,,,,,,,,,,,,,,,,,,,,,,,,,,3194.0,3186.0,3108.0,3168.0,3257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124175.0,127940.0,130928.0,128666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130175.4765625,2867.408447265625,58278.19921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127933.35784664036,2496.867023217076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134585.76934904046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130347.0,2131.0,57172.0,125760.0,2207.0,50692.0,,,,130347.0,2131.0,57172.0,125760.0,2207.0,50692.0,,,,130007.0,,60588.0,125483.0,,53923.0,,,
Germany,,2020-04-14,131359,3294,68200,131359.0,136325.0,141666.0,158604.0,151756.0,159345.0,,,,,,,,,,,,,,,,,,,,,,,,,3294.0,3339.0,3336.0,3352.0,3423.0,3527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125742.0,127652.0,133414.0,137303.0,134360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132657.96875,2931.472412109375,61565.77734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130800.83019683027,2629.7004318454087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138444.25900936837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133967.0,2209.0,61096.0,130730.0,2293.0,56129.0,,,,133967.0,2209.0,61097.0,130730.0,2293.0,56129.0,,,,133649.0,,64698.0,130497.0,,59590.0,,,
Germany,,2020-04-15,134753,3804,72600,134753.0,138059.0,142732.0,149129.0,167757.0,160445.0,169532.0,,,,,,,,,,,,,,,,,,,,,,,,3803.0,3556.0,3592.0,3472.0,3574.0,3596.0,3836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127483.0,128421.0,131129.0,139121.0,143988.0,140307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134914.859375,2988.362060546875,64904.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133559.55993423625,2760.6147150017628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142219.41128013155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137251.0,2249.0,64924.0,135418.0,2420.0,60903.0,,,,137251.0,2249.0,64924.0,135418.0,2420.0,60903.0,,,,136969.0,,68681.0,135203.0,,64602.0,,,
Germany,,2020-04-16,137698,4052,77000,137698.0,141317.0,144290.0,149879.0,157003.0,180417.0,169584.0,179830.0,,,,,,,,,,,,,,,,,,,,,,,4051.0,3975.0,3751.0,3774.0,3635.0,3771.0,3769.0,4071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129801.0,129793.0,131100.0,134606.0,145073.0,150999.0,146516.0,,3509.0,,,,,,,,,,,,,,,,139461.34375,3850.868408203125,76499.8125,,,,,,,,,,,,,,,,,,,136942.078125,3039.11279296875,68282.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136213.65203833114,2889.4054914955104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145913.99841736697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140605.0,2325.0,68797.0,139673.0,2497.0,65411.0,,,,140605.0,2325.0,68797.0,139673.0,2497.0,65411.0,,,,140358.0,,72760.0,139484.0,,69286.0,,,
Germany,,2020-04-17,141397,4352,83114,141397.0,144060.0,147726.0,150941.0,157168.0,164637.0,192750.0,179511.0,190613.0,,,,,,,,,,,,,,,,,,,,,,4351.0,4285.0,4148.0,3893.0,4068.0,3781.0,3953.0,3972.0,4322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132085.0,132102.0,133779.0,138083.0,151279.0,158351.0,153000.0,,3783.0,,,,,,,,,,,,,,,,,,142624.296875,3951.933837890625,79198.328125,,,,,,,,,,,,,,,,,,,138745.34375,3084.693115234375,71684.6171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138767.06500513898,3015.8978312248883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149529.7987677381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143951.0,2398.0,72700.0,143649.0,2595.0,69614.0,,,,143951.0,2398.0,72700.0,143649.0,2595.0,69614.0,,,,143741.0,,76868.0,143480.0,,73689.0,,,
Germany,,2020-04-18,143342,4459,85400,143342.0,147649.0,150286.0,154520.0,158002.0,164960.0,173247.0,202259.0,190248.0,202655.0,,,,,,,,,,,,,,,,,,,,,4459.0,4549.0,4482.0,4342.0,4107.0,4404.0,3959.0,4242.0,4175.0,4600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136867.0,,134369.0,134412.0,136458.0,141560.0,157751.0,166061.0,4217.0,,4079.0,,,,,,,,,,,,,,,,,,,,146004.109375,4063.533935546875,81857.6796875,,,,,,,,,,,,,,,,,,,140336.625,3125.96435546875,75092.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141223.59929072156,3139.9473333573114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153068.34788004836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147439.0,2463.0,76833.0,147325.0,2665.0,73699.0,,,,147439.0,2463.0,76833.0,147325.0,2665.0,73699.0,,,,147273.0,,81209.0,147188.0,,77955.0,,,
Germany,,2020-04-19,145184,4586,88000,145184.0,149728.0,154200.0,156875.0,161871.0,165479.0,173141.0,182932.0,216316.0,201575.0,215320.0,,,,,,,,,,,,,,,,,,,,4585.0,4672.0,5129.0,4640.0,4555.0,4347.0,4572.0,4162.0,4503.0,4409.0,5002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140895.0,139990.0,,136653.0,136721.0,139137.0,145037.0,164500.0,4411.0,4598.0,,4398.0,,,,,,,,,,,,,,,,,,,,,,149439.671875,4183.54443359375,84418.671875,,,,,,,,,,,,,,,,,,,141731.734375,3163.671630859375,78482.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143586.89712363313,3261.438049352871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156531.2479714999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150725.0,2526.0,80715.0,150618.0,2689.0,77628.0,,,,150725.0,2526.0,80715.0,150618.0,2689.0,77628.0,,,,150599.0,,85285.0,150526.0,,82031.0,,,
Germany,,2020-04-20,147065,4862,91500,147064.0,151228.0,156438.0,163329.0,163952.0,169568.0,173666.0,182857.0,193300.0,244877.0,213685.0,228834.0,,,,,,,,,,,,,,,,,,,4861.0,4811.0,4896.0,5361.0,4862.0,4777.0,4531.0,4954.0,4382.0,4821.0,4634.0,5443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142472.0,144390.0,143113.0,,138937.0,139031.0,141816.0,148514.0,4524.0,4733.0,5013.0,,4742.0,,,,,,,,,,,,,,,,,,,,,,,,152836.015625,4310.02978515625,86848.5,,,,,,,,,,,,,,,,,,,142948.234375,3198.44384765625,81827.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145860.48543851898,3380.2733495685634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159920.63946214484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153843.0,2584.0,84410.0,154008.0,2758.0,81601.0,,,,153843.0,2584.0,84410.0,154008.0,2758.0,81601.0,,,,153756.0,,89165.0,153960.0,,86209.0,,,
Germany,,2020-04-21,148291,5033,95200,148290.0,152926.0,157697.0,163404.0,170578.0,171536.0,177913.0,183015.0,193062.0,204443.0,261662.0,226573.0,244570.0,,,,,,,,,,,,,,,,,,5032.0,5062.0,5097.0,5202.0,5765.0,5077.0,5019.0,4797.0,5383.0,4590.0,5171.0,4871.0,5695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143902.0,144780.0,147884.0,146236.0,,141221.0,141340.0,144495.0,4563.0,4767.0,5079.0,5465.0,,5113.0,,,,,,,,,,,,,,,,,,,,,,,,,,156133.421875,4440.88916015625,89123.1953125,,,,,,,,,,,,,,,,,,,144004.140625,3230.806884765625,85091.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148047.746138394,3496.3781857789313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163236.4926784916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156858.0,2640.0,88029.0,157396.0,2824.0,85596.0,,,,156858.0,2640.0,88029.0,157396.0,2824.0,85596.0,,,,156812.0,,92971.0,157394.0,,90409.0,,,
Germany,,2020-04-22,150648,5279,99400,150648.0,154209.0,159243.0,164482.0,170229.0,179514.0,179578.0,187126.0,192963.0,203773.0,216367.0,277556.0,240607.0,259816.0,,,,,,,,,,,,,,,,,5278.0,5256.0,5414.0,5415.0,5540.0,6087.0,5294.0,5245.0,5014.0,5853.0,4827.0,5476.0,5129.0,5977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145235.0,146019.0,147327.0,151379.0,149359.0,,143505.0,143650.0,4736.0,4710.0,5023.0,5450.0,5959.0,,5513.0,,,,,,,,,,154398.3125,5267.41162109375,97552.484375,,,,,,,,,,,,,,,,159293.1875,4573.98193359375,91227.9140625,,,,,,,,,,,,,,,,,,,144917.109375,3261.195556640625,88235.9453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155836.16289549993,4725.997640800696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150151.94499705322,3609.6943991188236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147451.92745470506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166482.1696267057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159726.0,2674.0,91582.0,160965.0,2880.0,89851.0,,,,159726.0,2674.0,91582.0,160965.0,2880.0,89851.0,,,,159730.0,,96698.0,161019.0,,94872.0,,,
